State,Year,Alcohol_Dependence_12_17,Alcohol_Dependence_18_25,Alcohol_Dependence_26,Total
Wyoming,2012,100,500,1198,1798
Alabama,2013,500,2700,10000,13200
Alaska,2013,100,500,1300,1900
Arizona,2013,700,4200,13599,18499
Arkansas,2013,200,1699,5200,7099
California,2013,3699,29600,78500,111799
Colorado,2013,500,3600,10900,15000
Connecticut,2013,300,2200,7300,9800
Delaware,2013,100,700,1800,2600
District of Columbia,2013,0,799,1900,2699
Florida,2013,1500,8900,37600,48000
Georgia,2013,800,5200,16100,22100
Hawaii,2013,200,1200,3100,4500
Idaho,2013,200,900,2800,3900
Illinois,2013,1100,7900,23600,32600
Indiana,2013,700,4400,11900,17000
Iowa,2013,300,2000,5500,7800
Kansas,2013,300,1800,5900,8000
Kentucky,2013,400,2500,8300,11200
Louisiana,2013,400,2900,8300,11600
Maine,2013,99,800,3000,3899
Maryland,2013,500,3700,10500,14700
Massachusetts,2013,500,4800,11900,17200
Michigan,2013,999,6500,20000,27499
Minnesota,2013,400,3200,10100,13700
Mississippi,2013,200,1700,5300,7200
Missouri,2013,499,3500,11599,15598
Montana,2013,100,800,2300,3200
Nebraska,2013,199,1400,3900,5499
Nevada,2013,300,2000,6200,8500
New Hampshire,2013,100,1100,2800,4000
New Jersey,2013,700,5100,15400,21200
New Mexico,2013,199,1299,4000,5498
New York,2013,1800,12800,38900,53500
North Carolina,2013,800,5200,16300,22300
North Dakota,2013,100,700,1400,2200
Ohio,2013,1000,6400,21699,29099
Oklahoma,2013,300,2200,7700,10200
Oregon,2013,400,2700,8500,11600
Pennsylvania,2013,1100,8199,21700,30999
Rhode Island,2013,100,1100,2400,3600
South Carolina,2013,400,2400,9400,12200
South Dakota,2013,100,700,1700,2500
Tennessee,2013,500,3400,11499,15399
Texas,2013,2600,16400,47599,66599
Utah,2013,200,1600,4100,5900
Vermont,2013,100,499,1200,1799
Virginia,2013,700,6300,16400,23400
Washington,2013,700,4899,13800,19399
West Virginia,2013,200,900,3700,4800
Wisconsin,2013,600,3900,12800,17300
Wyoming,2013,99,500,1300,1899
